Inicio de registro: 2025-08-07 17:30:00
2025-08-07,19:14:30, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:43:25, Unidad: C°,S1: 20.13, S2: 19.81, S3: 19.94, S4: 20.06, S5: 24.31, S6: 18.81, S7: 18.94, S8: 19.25, S9: 19.25, S10: 18.88, S11: 18.88, S12: 19.50, S13: 19.94, S14: 20.00, S15: 20.00, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:43:34, Unidad: C°,S1: 20.13, S2: 19.88, S3: 19.94, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.88, S8: 19.19, S9: 19.19, S10: 18.88, S11: 18.88, S12: 19.50, S13: 19.94, S14: 20.00, S15: 20.00, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:43:43, Unidad: C°,S1: 20.06, S2: 19.81, S3: 19.94, S4: 20.00, S5: 24.25, S6: 18.88, S7: 18.88, S8: 19.19, S9: 19.13, S10: 18.94, S11: 18.88, S12: 19.44, S13: 19.94, S14: 20.00, S15: 20.00, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:43:52, Unidad: C°,S1: 20.06, S2: 19.81, S3: 19.88, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.88, S8: 19.19, S9: 19.19, S10: 18.88, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 20.00, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:44:01, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.94, S4: 20.06, S5: 24.25, S6: 18.75, S7: 18.88, S8: 19.13, S9: 19.25, S10: 18.88, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:44:10, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.94, S4: 20.06, S5: 24.25, S6: 18.81, S7: 18.81, S8: 19.19, S9: 19.25, S10: 18.88, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:44:20, Unidad: C°,S1: 20.13, S2: 19.81, S3: 19.94, S4: 20.00, S5: 24.25, S6: 18.75, S7: 18.94, S8: 19.19, S9: 19.25, S10: 18.94, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:44:29, Unidad: C°,S1: 20.13, S2: 19.81, S3: 19.88, S4: 20.00, S5: 24.19, S6: 18.81, S7: 18.94, S8: 19.19, S9: 19.25, S10: 18.94, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 20.00, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:44:38, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.94, S8: 19.19, S9: 19.25, S10: 18.88, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:44:47, Unidad: C°,S1: 20.06, S2: 19.81, S3: 19.94, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.88, S8: 19.13, S9: 19.25, S10: 18.88, S11: 19.06, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:44:56, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.94, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.88, S8: 19.13, S9: 19.25, S10: 18.81, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:45:06, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.94, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.88, S8: 19.19, S9: 19.19, S10: 18.88, S11: 19.06, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:45:15, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 20.06, S5: 24.19, S6: 18.81, S7: 18.94, S8: 19.13, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.44, S13: 19.94, S14: 20.00, S15: 19.94, S16: 19.75, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:45:24, Unidad: C°,S1: 20.06, S2: 19.81, S3: 19.88, S4: 20.00, S5: 24.19, S6: 18.75, S7: 18.88, S8: 19.13, S9: 19.19, S10: 18.88, S11: 19.00, S12: 19.44, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:45:33, Unidad: C°,S1: 20.19, S2: 19.81, S3: 19.94, S4: 20.00, S5: 24.19, S6: 18.81, S7: 18.88, S8: 19.19, S9: 19.25, S10: 18.88, S11: 18.88, S12: 19.44, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.75, S17: 19.75, S18: 19.44, S19: 19.81, S20: 19.75.
2025-08-07,19:45:42, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.94, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.88, S8: 19.13, S9: 19.25, S10: 18.81, S11: 18.94, S12: 19.44, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.50, S19: 19.81, S20: 19.75.
2025-08-07,19:45:52, Unidad: C°,S1: 20.13, S2: 19.81, S3: 19.94, S4: 20.00, S5: 24.19, S6: 18.81, S7: 18.88, S8: 19.19, S9: 19.25, S10: 18.88, S11: 19.06, S12: 19.44, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.75.
2025-08-07,19:46:01, Unidad: C°,S1: 20.13, S2: 19.81, S3: 19.88, S4: 20.00, S5: 24.25, S6: 18.81, S7: 18.88, S8: 19.19, S9: 19.19, S10: 18.88, S11: 19.06, S12: 19.44, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.75.
2025-08-07,19:46:10, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 19.94, S5: 24.25, S6: 18.75, S7: 18.88, S8: 19.13, S9: 19.25, S10: 18.88, S11: 18.94, S12: 19.44, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.75.
2025-08-07,19:46:19, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.88, S4: 20.00, S5: 24.25, S6: 18.75, S7: 18.88, S8: 19.13, S9: 19.25, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.75.
2025-08-07,19:46:28, Unidad: C°,S1: 20.00, S2: 19.75, S3: 19.88, S4: 20.00, S5: 24.19, S6: 18.75, S7: 18.88, S8: 19.13, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.44, S13: 19.88, S14: 19.94, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.75.
2025-08-07,19:46:37, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 19.94, S5: 24.25, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.38, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.75.
2025-08-07,19:46:47, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.94, S4: 19.94, S5: 24.19, S6: 18.81, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.88, S11: 19.00, S12: 19.44, S13: 19.88, S14: 19.94, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:46:56, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.88, S4: 19.94, S5: 24.19, S6: 18.81, S7: 18.88, S8: 19.13, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:47:05, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 19.94, S5: 24.19, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.88, S14: 20.00, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:47:14, Unidad: C°,S1: 20.00, S2: 19.75, S3: 19.88, S4: 19.94, S5: 24.19, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.88, S11: 19.00, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:47:23, Unidad: C°,S1: 20.13, S2: 19.75, S3: 19.88, S4: 20.00, S5: 24.19, S6: 18.81, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.88, S11: 18.94, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.94, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:47:32, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 20.00, S5: 24.13, S6: 18.75, S7: 18.88, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:47:42, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:47:51, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.19, S6: 18.69, S7: 18.81, S8: 19.13, S9: 19.13, S10: 18.75, S11: 18.94, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:48:00, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 20.00, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:48:09, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.69, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.88, S11: 18.88, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:48:18, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.19, S6: 18.75, S7: 18.88, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.88, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:48:28, Unidad: C°,S1: 19.94, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:48:37, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.81, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.88, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.69, S17: 19.75, S18: 19.44, S19: 19.75, S20: 19.69.
2025-08-07,19:48:46, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.81, S4: 19.94, S5: 24.19, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.75, S20: 19.69.
2025-08-07,19:48:55, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.81, S4: 19.94, S5: 24.13, S6: 18.81, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.75, S20: 19.69.
2025-08-07,19:49:04, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.81, S4: 20.00, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.75, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.69, S17: 19.69, S18: 19.38, S19: 19.75, S20: 19.69.
2025-08-07,19:49:13, Unidad: C°,S1: 20.06, S2: 19.75, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.88, S11: 18.94, S12: 19.31, S13: 19.88, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.75, S20: 19.69.
2025-08-07,19:49:23, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.69.
2025-08-07,19:49:32, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.88, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.75, S18: 19.38, S19: 19.69, S20: 19.69.
2025-08-07,19:49:41, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.69.
2025-08-07,19:49:50, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.81, S4: 19.88, S5: 24.13, S6: 18.81, S7: 18.75, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.38, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.69.
2025-08-07,19:49:59, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.81, S4: 19.94, S5: 24.13, S6: 18.81, S7: 18.81, S8: 19.06, S9: 19.19, S10: 18.81, S11: 18.81, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.63.
2025-08-07,19:50:09, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.88, S4: 19.88, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.69.
2025-08-07,19:50:18, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.88, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.69.
2025-08-07,19:50:27, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.88, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.63.
2025-08-07,19:50:36, Unidad: C°,S1: 20.00, S2: 19.69, S3: 19.81, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.63.
2025-08-07,19:50:45, Unidad: C°,S1: 19.94, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.75, S11: 18.81, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.63.
2025-08-07,19:50:54, Unidad: C°,S1: 20.06, S2: 19.69, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.75, S11: 18.81, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.63.
2025-08-07,19:51:04, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.13, S6: 18.75, S7: 18.81, S8: 19.13, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.63.
2025-08-07,19:51:13, Unidad: C°,S1: 20.06, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.69, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:51:22, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.88, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.75, S8: 19.06, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.38, S19: 19.69, S20: 19.63.
2025-08-07,19:51:31, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.75, S8: 19.13, S9: 19.19, S10: 18.75, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.88, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:51:40, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 19.00, S12: 19.31, S13: 19.81, S14: 19.94, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:51:50, Unidad: C°,S1: 19.94, S2: 19.63, S3: 19.81, S4: 19.94, S5: 24.06, S6: 18.75, S7: 18.75, S8: 19.13, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.25, S13: 19.81, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:51:59, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.94, S5: 24.13, S6: 18.75, S7: 18.75, S8: 19.13, S9: 19.19, S10: 18.81, S11: 19.00, S12: 19.31, S13: 19.81, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:52:08, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.69, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.88, S12: 19.31, S13: 19.81, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:52:17, Unidad: C°,S1: 19.94, S2: 19.63, S3: 19.75, S4: 19.88, S5: 24.06, S6: 18.81, S7: 18.81, S8: 19.06, S9: 19.06, S10: 18.75, S11: 18.81, S12: 19.31, S13: 19.75, S14: 19.94, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:52:26, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.75, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.88, S15: 19.81, S16: 19.63, S17: 19.69, S18: 19.31, S19: 19.69, S20: 19.63.
2025-08-07,19:52:35, Unidad: C°,S1: 20.06, S2: 19.56, S3: 19.75, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.75, S11: 18.81, S12: 19.31, S13: 19.75, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.63.
2025-08-07,19:52:45, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.69, S7: 18.75, S8: 19.13, S9: 19.13, S10: 18.75, S11: 18.88, S12: 19.31, S13: 19.81, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.63.
2025-08-07,19:52:54, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.19, S10: 18.81, S11: 18.94, S12: 19.31, S13: 19.81, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.63.
2025-08-07,19:53:03, Unidad: C°,S1: 20.00, S2: 19.56, S3: 19.75, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.88, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.63.
2025-08-07,19:53:12, Unidad: C°,S1: 20.00, S2: 19.56, S3: 19.75, S4: 19.88, S5: 24.06, S6: 18.69, S7: 18.75, S8: 19.06, S9: 19.13, S10: 18.75, S11: 18.81, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.56.
2025-08-07,19:53:21, Unidad: C°,S1: 20.00, S2: 19.56, S3: 19.75, S4: 19.88, S5: 24.06, S6: 18.69, S7: 18.75, S8: 19.06, S9: 19.13, S10: 18.75, S11: 18.75, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.81, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.56.
2025-08-07,19:53:31, Unidad: C°,S1: 20.00, S2: 19.63, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.75, S7: 18.75, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.81, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.56.
2025-08-07,19:53:40, Unidad: C°,S1: 19.94, S2: 19.56, S3: 19.75, S4: 19.88, S5: 24.06, S6: 18.69, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.75, S11: 18.75, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.63.
2025-08-07,19:53:49, Unidad: C°,S1: 19.94, S2: 19.56, S3: 19.81, S4: 19.88, S5: 24.06, S6: 18.69, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.81, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.63.
2025-08-07,19:53:58, Unidad: C°,S1: 19.94, S2: 19.56, S3: 19.75, S4: 19.88, S5: 24.00, S6: 18.75, S7: 18.75, S8: 19.06, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.63.
2025-08-07,19:54:07, Unidad: C°,S1: 19.94, S2: 19.56, S3: 19.75, S4: 19.81, S5: 24.00, S6: 18.75, S7: 18.81, S8: 19.00, S9: 19.06, S10: 18.75, S11: 18.94, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.56.
2025-08-07,19:54:16, Unidad: C°,S1: 19.94, S2: 19.63, S3: 19.75, S4: 19.81, S5: 24.06, S6: 18.75, S7: 18.81, S8: 19.00, S9: 19.13, S10: 18.81, S11: 18.94, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.56.
2025-08-07,19:54:26, Unidad: C°,S1: 19.88, S2: 19.56, S3: 19.75, S4: 19.81, S5: 24.00, S6: 18.75, S7: 18.75, S8: 19.06, S9: 19.06, S10: 18.81, S11: 18.94, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.31, S19: 19.63, S20: 19.56.
2025-08-07,19:54:35, Unidad: C°,S1: 20.00, S2: 19.56, S3: 19.75, S4: 19.81, S5: 24.06, S6: 18.69, S7: 18.81, S8: 19.00, S9: 19.13, S10: 18.75, S11: 18.75, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.25, S19: 19.63, S20: 19.56.
2025-08-07,19:54:44, Unidad: C°,S1: 19.94, S2: 19.56, S3: 19.69, S4: 19.81, S5: 24.00, S6: 18.75, S7: 18.81, S8: 19.06, S9: 19.13, S10: 18.75, S11: 18.69, S12: 19.25, S13: 19.75, S14: 19.88, S15: 19.75, S16: 19.56, S17: 19.69, S18: 19.25, S19: 19.63, S20: 19.56.
